system,m1,m2,r1,r2,t1,L1,L2,t2,ab,e_b,a_p,ahzi,ahzo,phzi,phzo,ahb,phb
Kepler-16,0.6897,0.20255,0.6489,0.22623,4450.0,0.1459095163820012,0.005435320273664507,3311.0,0.22431,0.15944,0.7048,0.3938393155630423,0.732931898761141,0.6055226809058556,0.6199534317499059,1,2
Kepler-34,1.0479,1.0208,1.1618,1.0927,5913.0,1.4580831327351766,1.2501273732895315,5867.0,0.22882,0.52087,1.0896,1.5533287044177553,2.7310826750705584,1.6379236010915266,2.7402377103067916,2,2
Kepler-35,0.8876,0.8094,1.0284,0.7861,5606.0,0.9230485308246165,0.3998756966804053,5202.0,0.17617,0.1421,0.60345,1.1123484422073715,1.97877258410282,1.2091104479302557,1.9263795527526466,2,2
Kepler-38,0.949,0.249,1.757,0.2724,5640.0,2.760247115273027,0.008014359705053632,3325.0,0.1469,0.1032,0.4644,1.5947288737852725,2.8238878168117663,1.686507909522763,2.7378228916183596,2,2
Kepler-64,1.528,0.378,1.734,0.408,6407.0,4.477185700301674,0.023653545444747775,3561.0,0.1744,0.2117,0.634,1.942287567448266,3.3821895716077766,2.0842035091415303,3.251787541698049,2,2
Kepler-413,0.82,0.5423,0.7761,0.484,4700.0,0.2597256395569803,0.02977067730185131,3463.0,0.10148,0.0365,0.3553,0.5427608362823824,1.0011709902032508,0.6173484633918478,0.9469474405252389,2,2
Kepler-453,0.944,0.1951,0.833,0.215,5527.0,0.572184233778672,0.004424074154186416,3226.0,0.18539,0.0524,0.7903,0.7327444341810317,1.3028884397049396,0.8196332019426743,1.228637536397381,1,2
Kepler-1647,1.21,0.975,1.7903,0.9663,6210.0,4.212171543302686,0.9145663905994781,5770.0,0.1276,0.1593,2.7205,2.1064331981647926,3.684743257818193,2.19575340624675,3.607335301557612,1,1
Kepler-1661,0.841,0.262,0.762,0.276,5100.0,0.3471192292600112,0.011118925744540369,3585.0,0.187,0.112,0.633,0.5912631947974877,1.068993357602482,0.7264208186256417,0.9715897107829257,1,2
